CODIGO_UNIDADE;NOME_UNIDADE;DT_AUTORIZA_FUNCIONA_UNID;NOME_REGIAO_UNIDADE;SIGLA_UF_UNIDADE;NOME_MUNICIPIO_UNIDADE;NOME_MESORREGIAO_UNIDADE;NOME_MICRORREGIAO_UNIDADE
20099;INSTITUTO FEDERAL DA BAHIA - CAMPUS PAULO AFONSO;29-12-2009;Nordeste;BA;Paulo Afonso;Vale São-Franciscano da Bahia;Paulo Afonso
31976;INSTITUTO FEDERAL DO ACRE - CAMPUS AVANÇADO RIO BRANCO BAIXADA DO SOL;05-04-2012;Norte;AC;Rio Branco;Vale do Acre;Rio Branco
2870;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS MARECHAL DEODORO;07-01-2009;Nordeste;AL;Marechal Deodoro;Leste Alagoano;Maceió
2864;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS PALMEIRA DOS ÍNDIOS;07-01-2009;Nordeste;AL;Palmeira dos Índios;Agreste Alagoano;Palmeira dos Índios
2956;INSTITUTO FEDERAL GOIANO - CAMPUS URUTAÍ;07-01-2009;Centro-Oeste;GO;Urutaí;Sul Goiano;Pires do Rio
20183;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS BACABAL;30-12-2008;Nordeste;MA;Bacabal;Centro Maranhense;Médio Mearim
20092;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS BARREIRINHAS;29-12-2008;Nordeste;MA;Barreirinhas;Norte Maranhense;Lençóis Maranhenses
42115;INSTITUTO FEDERAL DO MARANHÃO CAMPUS AVANÇADO PORTO FRANCO;30-12-2013;Nordeste;MA;Porto Franco;Sul Maranhense;Porto Franco
2866;INSTITUTO FEDERAL DA BAHIA - CAMPUS SANTO AMARO;07-01-2009;Nordeste;BA;Santo Amaro;Metropolitana de Salvador;Santo Antônio de Jesus
44046;INSTITUTO FEDERAL BAIANO ¿ CAMPUS SERRINHA;30-12-2008;Nordeste;BA;Serrinha;Nordeste Baiano;Serrinha
14223;INSTITUTO FEDERAL DO CEARÁ - CAMPUS ACARAÚ;30-03-2010;Nordeste;CE;Acaraú;Noroeste Cearense;Litoral de Camocim e Acaraú
20084;INSTITUTO FEDERAL DO CEARÁ - CAMPUS JAGUARIBE;08-12-2010;Nordeste;CE;Jaguaribe;Jaguaribe;Médio Jaguaribe
20567;INSTITUTO FEDERAL DE BRASÍLIA - CAMPUS SÃO SEBASTIÃO;15-07-2011;Centro-Oeste;DF;Brasília;Distrito Federal;Brasília
2803;INSTITUTO FEDERAL DE BRASÍLIA - CAMPUS PLANALTINA;29-12-2008;Centro-Oeste;DF;Brasília;Distrito Federal;Brasília
2891;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS ALEGRE;07-01-2009;Sudeste;ES;Alegre;Sul Espírito-santense;Alegre
2896;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS COLATINA;07-01-2009;Sudeste;ES;Colatina;Noroeste Espírito-santense;Colatina
14500;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS IBATIBA;03-03-2010;Sudeste;ES;Ibatiba;Sul Espírito-santense;Alegre
2899;INSTITUTO FEDERAL DO ESPÍRITO SANTO - CAMPUS SÃO MATEUS;07-01-2009;Sudeste;ES;São Mateus;Litoral Norte Espírito-santense;São Mateus
32320;INSTITUTO FEDERAL DO ESPÍRITO SANTO CAMPUS AVANÇADO VIANA;17-03-2014;Sudeste;ES;Viana;Central Espírito-santense;Vitória
32227;INSTITUTO FEDERAL GOIANO CAMPUS AVANÇADO CRISTALINA;30-12-2013;Centro-Oeste;GO;Cristalina;Leste Goiano;Entorno de Brasília
20433;INSTITUTO FEDERAL DE GOIÁS - CAMPUS GOIÂNIA OESTE;28-12-2008;Centro-Oeste;GO;Goiânia;Centro Goiano;Goiânia
3003;INSTITUTO FEDERAL DE GOIÁS - CAMPUS INHUMAS;07-01-2009;Centro-Oeste;GO;Inhumas;Centro Goiano;Anápolis
3002;INSTITUTO FEDERAL DE GOIÁS - CAMPUS JATAÍ;07-01-2009;Centro-Oeste;GO;Jataí;Sul Goiano;Sudoeste de Goiás
42051;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS CAMPUS MANHUAÇU;30-12-2013;Sudeste;MG;Manhuaçu;Zona da Mata;Manhuaçu
3366;INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO - CAMPUS PARACATU;30-12-2008;Sudeste;MG;Paracatu;Noroeste de Minas;Paracatu
42217;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS CENTRO DE REFERÊNCIA PORTEIRINHA;30-12-2013;Sudeste;MG;Porteirinha;Norte de Minas;Janaúba
2991;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS - CAMPUS RIO POMBA;07-01-2009;Sudeste;MG;Rio Pomba;Zona da Mata;Ubá
23460;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS SABARÁ;26-11-2011;Sudeste;MG;Sabará;Metropolitana de Belo Horizonte;Belo Horizonte
42125;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS SANTA LUZIA;30-12-2013;Sudeste;MG;Santa Luzia;Metropolitana de Belo Horizonte;Belo Horizonte
13649;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS ARAÇUAÍ;07-01-2009;Sudeste;MG;Araçuaí;Jequitinhonha;Araçuaí
13192;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS GOVERNADOR VALADARES;07-01-2009;Sudeste;MG;Governador Valadares;Vale do Rio Doce;Governador Valadares
2918;INSTITUTO FEDERAL DO PARÁ - CAMPUS TUCURUÍ;07-01-2009;Norte;PA;Tucuruí;Sudeste Paraense;Tucuruí
3562;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS CABEDELO;07-01-2009;Nordeste;PB;Cabedelo;Mata Paraibana;João Pessoa
42528;INSTITUTO FEDERAL DA PARAÍBA CAMPUS ITAPORANGA;20-01-2014;Nordeste;PB;Itaporanga;Sertão Paraibano;Itaporanga
2810;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS SOUSA;07-01-2009;Nordeste;PB;Sousa;Sertão Paraibano;Sousa
13903;INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO - CAMPUS UBERLÂNDIA CENTRO;03-12-2009;Sudeste;MG;Uberlândia;Triângulo Mineiro/Alto Paranaíba;Uberlândia
12975;UNIVERSIDADE FEDERAL DE UBERLÂNDIA - ESCOLA TÉCNICA DE SAÚDE DA UFU;29-10-1981;Sudeste;MG;Uberlândia;Triângulo Mineiro/Alto Paranaíba;Uberlândia
14144;INSTITUTO FEDERAL DO MATO GROSSO DO SUL - CAMPUS CORUMBÁ;08-07-2010;Centro-Oeste;MS;Corumbá;Pantanais Sul Mato-grossense;Baixo Pantanal
13511;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS CONFRESA;07-01-2009;Centro-Oeste;MT;Confresa;Nordeste Mato-grossense;Norte Araguaia
13863;INSTITUTO FEDERAL DO PARÁ - CAMPUS BREVES;30-12-2008;Norte;PA;Breves;Marajó;Furos de Breves
13782;INSTITUTO FEDERAL DO PARANÁ - CAMPUS PALMAS;28-12-2008;Sul;PR;Palmas;Centro-Sul Paranaense;Palmas
3344;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ - CAMPUS PONTA GROSSA;20-10-1992;Sul;PR;Ponta Grossa;Centro Oriental Paranaense;Ponta Grossa
2877;INSTITUTO FEDERAL DO SERTÃO PERNAMBUCANO - CAMPUS FLORESTA;07-01-2009;Nordeste;PE;Floresta;São Francisco Pernambucano;Itaparica
2856;INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE;07-01-2009;Nordeste;PE;Recife;Metropolitana de Recife;Recife
32044;INSTITUTO FEDERAL DO SERTÃO PERNAMBUCANO - CAMPUS SANTA MARIA DA BOA VISTA;06-01-2009;Nordeste;PE;Santa Maria da Boa Vista;São Francisco Pernambucano;Petrolina
31993;INSTITUTO FEDERAL DO PIAUÍ CAMPUS AVANÇADO JOSÉ FREITAS;22-01-2014;Nordeste;PI;José de Freitas;Centro-Norte Piauiense;Teresina
13306;INSTITUTO FEDERAL DO PIAUÍ - CAMPUS PAULISTANA;07-01-2009;Nordeste;PI;Paulistana;Sudeste Piauiense;Alto Médio Canindé
31980;INSTITUTO FEDERAL SUL RIOGRANDENSE CAMPUS AVANÇADO NOVO HAMBURGO;22-01-2014;Sul;RS;Novo Hamburgo;Metropolitana de Porto Alegre;Porto Alegre
2928;INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS PELOTAS;07-01-2009;Sul;RS;Pelotas;Sudeste Rio-grandense;Pelotas
1700;COLÉGIO PEDRO II - CAMPUS SÃO CRISTÓVÃO III;17-11-2008;Sudeste;RJ;Rio de Janeiro;Metropolitana do Rio de Janeiro;Rio de Janeiro
1702;COLÉGIO PEDRO II - CAMPUS ENGENHO NOVO II;17-11-2008;Sudeste;RJ;Rio de Janeiro;Metropolitana do Rio de Janeiro;Rio de Janeiro
3004;INSTITUTO FEDERAL DO RIO DE JANEIRO CAMPUS REALENGO;07-01-2009;Sudeste;RJ;Rio de Janeiro;Metropolitana do Rio de Janeiro;Rio de Janeiro
13008;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS APODI;28-07-2009;Nordeste;RN;Apodi;Oeste Potiguar;Chapada do Apodi
2962;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS NATAL ZONA NORTE;07-01-2009;Nordeste;RN;Natal;Leste Potiguar;Natal
42055;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE CAMPUS AVANÇADO PARELHAS;31-12-2013;Nordeste;RN;Parelhas;Central Potiguar;Seridó Oriental
20413;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS PARNAMIRIM;29-12-2008;Nordeste;RN;Parnamirim;Leste Potiguar;Natal
13018;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS SANTA CRUZ;28-07-2009;Nordeste;RN;Santa Cruz;Agreste Potiguar;Borborema Potiguar
3523;INSTITUTO FEDERAL DE RONDÔNIA - CAMPUS JI-PARANÁ;29-12-2008;Norte;RO;Ji-Paraná;Leste Rondoniense;Ji-Paraná
32005;INSTITUTO FEDERAL DO RIO GRANDE DO SUL CAMPUS ALVORADA;28-12-2008;Sul;RS;Alvorada;Metropolitana de Porto Alegre;Porto Alegre
13801;INSTITUTO FEDERAL DO RIO GRANDE DO SUL - CAMPUS CAXIAS DO SUL;29-12-2008;Sul;RS;Caxias do Sul;Nordeste Rio-grandense;Caxias do Sul
3446;INSTITUTO FEDERAL DE SERGIPE - CAMPUS SÃO CRISTÓVÃO;07-01-2009;Nordeste;SE;São Cristóvão;Leste Sergipano;Aracaju
2851;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS CAMPOS DO JORDÃO;30-12-2008;Sudeste;SP;Campos do Jordão;Vale do Paraíba Paulista;Campos do Jordão
14030;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS ITAPETININGA;30-12-2008;Sudeste;SP;Itapetininga;Itapetininga;Itapetininga
31998;INSTITUTO FEDERAL CATARINENSE CAMPUS AVANÇADO ABELARDO LUZ;22-01-2014;Sul;SC;Abelardo Luz;Oeste Catarinense;Xanxerê
20411;INSTITUTO FEDERAL CATARINENSE - CAMPUS IBIRAMA;29-12-2008;Sul;SC;Ibirama;Vale do Itajaí;Rio do Sul
2828;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS JOINVILLE;07-01-2009;Sul;SC;Joinville;Norte Catarinense;Joinville
2831;INSTITUTO FEDERAL CATARINENSE - CAMPUS SANTA ROSA DO SUL;07-01-2009;Sul;SC;Santa Rosa do Sul;Sul Catarinense;Araranguá
14259;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS XANXERÊ;07-01-2009;Sul;SC;Xanxerê;Oeste Catarinense;Xanxerê
20064;INSTITUTO FEDERAL DE SERGIPE - CAMPUS ESTÂNCIA;30-12-2008;Nordeste;SE;Estância;Leste Sergipano;Estância
32148;INSTITUTO FEDERAL DE SÃO PAULO CAMPUS JACAREÍ;29-12-2008;Sudeste;SP;Jacareí;Vale do Paraíba Paulista;São José dos Campos
21884;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS REGISTRO;21-09-2010;Sudeste;SP;Registro;Litoral Sul Paulista;Registro
2849;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS SALTO;30-12-2008;Sudeste;SP;Salto;Macro Metropolitana Paulista;Sorocaba
43476;INSTITUTO FEDERAL DE SÃO PAULO CAMPUS SÃO PAULO PIRITUBA;29-12-2008;Sudeste;SP;São Paulo;Metropolitana de São Paulo;São Paulo
42735;INSTITUTO FEDERAL DE SÃO PAULO CAMPUS AVANÇADO TUPÃ;01-03-2014;Sudeste;SP;Tupã;Marília;Tupã
2855;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS SATUBA;07-01-2009;Nordeste;AL;Satuba;Leste Alagoano;Maceió
2889;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS MANAUS CENTRO;07-01-2009;Norte;AM;Manaus;Centro Amazonense;Manaus
13796;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS TABATINGA;07-01-2009;Norte;AM;Tabatinga;Sudoeste Amazonense;Alto Solimões
32109;INSTITUTO FEDERAL DO AMAPÁ CAMPUS SANTANA;22-01-2014;Norte;AP;Santana;Sul do Amapá;Macapá
2886;INSTITUTO FEDERAL DA BAHIA - CAMPUS BARREIRAS;07-01-2009;Nordeste;BA;Barreiras;Extremo Oeste Baiano;Barreiras
32231;INSTITUTO FEDERAL GOIANO CAMPUS TRINDADE;29-12-2008;Centro-Oeste;GO;Trindade;Centro Goiano;Goiânia
2908;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS BURITICUPU;07-01-2009;Nordeste;MA;Buriticupu;Oeste Maranhense;Pindaré
2904;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS CODÓ;07-01-2009;Nordeste;MA;Codó;Leste Maranhense;Codó
32134;INSTITUTO FEDERAL DO MARANHÃO CAMPUS PEDREIRAS;08-10-2013;Nordeste;MA;Pedreiras;Centro Maranhense;Médio Mearim
20096;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS SÃO JOÃO DOS PATOS;29-12-2008;Nordeste;MA;São João dos Patos;Leste Maranhense;Chapadas do Alto Itapecuru
2950;INSTITUTO FEDERAL BAIANO - CAMPUS TEIXEIRA DE FREITAS;07-01-2009;Nordeste;BA;Teixeira de Freitas;Sul Baiano;Porto Seguro
2871;INSTITUTO FEDERAL DA BAHIA - CAMPUS VALENÇA TENTO;07-01-2009;Nordeste;BA;Valença;Sul Baiano;Valença
20434;INSTITUTO FEDERAL DO CEARÁ - CAMPUS CAMOCIM;29-12-2008;Nordeste;CE;Camocim;Noroeste Cearense;Litoral de Camocim e Acaraú
20436;INSTITUTO FEDERAL DO CEARÁ - CAMPUS MORADA NOVA;29-12-2008;Nordeste;CE;Morada Nova;Jaguaribe;Baixo Jaguaribe
14191;INSTITUTO FEDERAL DO CEARÁ - CAMPUS TIANGUÁ;30-03-2010;Nordeste;CE;Tianguá;Noroeste Cearense;Ibiapaba
13367;INSTITUTO FEDERAL DE BRASÍLIA - CAMPUS TAGUATINGA;07-01-2009;Centro-Oeste;DF;Brasília;Distrito Federal;Brasília
20892;INSTITUTO FEDERAL DE BRASÍLIA - CAMPUS TAGUATINGA CENTRO;01-11-2011;Centro-Oeste;DF;Brasília;Distrito Federal;Brasília
42638;INSTITUTO FEDERAL DO ESPIRITO SANTO - CENTRO DE REFERÊNCIA EM FORMAÇÃO E EM EDUCAÇÃO A DISTÂNCIA;13-08-2014;Sudeste;ES;Vitória;Central Espírito-santense;Vitória
2953;INSTITUTO FEDERAL GOIANO - CAMPUS CERES;07-01-2009;Centro-Oeste;GO;Ceres;Centro Goiano;Ceres
42052;INSTITUTO FEDERAL GOIANO CAMPUS AVANÇADO IPAMERI;30-12-2013;Centro-Oeste;GO;Ipameri;Sul Goiano;Catalão
20381;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS TIMON;30-12-2008;Nordeste;MA;Timon;Leste Maranhense;Caxias
13209;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS ARINOS;07-01-2009;Sudeste;MG;Arinos;Noroeste de Minas;Unaí
2996;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS BAMBUÍ;07-01-2009;Sudeste;MG;Bambuí;Oeste de Minas;Piuí
20439;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS BETIM;29-12-2008;Sudeste;MG;Betim;Metropolitana de Belo Horizonte;Belo Horizonte
42205;INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS CENTRO DE REFERÊNCIA CATAGUASES;30-12-2013;Sudeste;MG;Cataguases;Zona da Mata;Cataguases
21662;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS - UNED CONTAGEM;06-12-2011;Sudeste;MG;Contagem;Metropolitana de Belo Horizonte;Belo Horizonte
3042;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS - UNED DIVINÓPOLIS;07-01-2009;Sudeste;MG;Divinópolis;Oeste de Minas;Divinópolis
3228;INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS FORMIGA;07-01-2009;Sudeste;MG;Formiga;Oeste de Minas;Formiga
32038;INSTITUTO FEDERAL DA PARAÍBA CAMPUS AVANÇADO JOÃO PESSOA MANGABEIRA;31-01-2014;Nordeste;PB;João Pessoa;Mata Paraibana;João Pessoa
354;UNIVERSIDADE FEDERAL DA PARAÍBA - ESCOLA TÉCNICA DE SAÚDE DA UFPB;13-12-1960;Nordeste;PB;João Pessoa;Mata Paraibana;João Pessoa
2809;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA;07-01-2009;Nordeste;PB;João Pessoa;Mata Paraibana;João Pessoa
42071;INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS CAMPUS TEÓFILO OTONI;30-12-2013;Sudeste;MG;Teófilo Otoni;Vale do Mucuri;Teófilo Otoni
13892;INSTITUTO FEDERAL DO MATO GROSSO DO SUL - CAMPUS AQUIDAUANA;08-07-2010;Centro-Oeste;MS;Aquidauana;Pantanais Sul Mato-grossense;Aquidauana
42565;INSTITUTO FEDERAL DO MATO GROSSO DO SUL CAMPUS DOURADOS;30-12-2008;Centro-Oeste;MS;Dourados;Sudoeste de Mato Grosso do Sul;Dourados
42566;INSTITUTO FEDERAL DO MATO GROSSO DO SUL CAMPUS NAVIRAÍ;30-12-2008;Centro-Oeste;MS;Naviraí;Sudoeste de Mato Grosso do Sul;Iguatemi
31984;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS ALTA FLORESTA;22-01-2014;Centro-Oeste;MT;Alta Floresta;Norte Mato-grossense;Alta Floresta
44307;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS AVANÇADO GUARANTA DO NORTE;10-05-2016;Centro-Oeste;MT;Guarantã do Norte;Norte Mato-grossense;Colíder
13512;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS JUÍNA;07-01-2009;Centro-Oeste;MT;Juína;Norte Mato-grossense;Aripuanã
3485;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS PONTES E LACERDA;07-01-2009;Centro-Oeste;MT;Pontes e Lacerda;Sudoeste Mato-grossense;Alto Guaporé
2969;INSTITUTO FEDERAL DE MATO GROSSO - CAMPUS SÃO VICENTE;07-01-2009;Centro-Oeste;MT;Santo Antônio do Leverger;Centro-Sul Mato-grossense;Cuiabá
3526;INSTITUTO FEDERAL DO PARÁ - CAMPUS BRAGANÇA;29-12-2008;Norte;PA;Bragança;Nordeste Paraense;Bragantina
23467;INSTITUTO FEDERAL DO PARANÁ CAMPUS CAPANEMA;18-06-2012;Sul;PR;Capanema;Sudoeste Paranaense;Capanema
13789;INSTITUTO FEDERAL DO PARANÁ - CAMPUS CASCAVEL;30-12-2008;Sul;PR;Cascavel;Oeste Paranaense;Cascavel
31964;INSTITUTO FEDERAL DO PARANÁ - CAMPUS AVANÇADO CORONEL VIVIDA;18-06-2012;Sul;PR;Coronel Vivida;Sudoeste Paranaense;Pato Branco
2924;INSTITUTO FEDERAL DO PARANÁ - CAMPUS CURITIBA;07-01-2009;Sul;PR;Curitiba;Metropolitana de Curitiba;Curitiba
3657;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ - CAMPUS MEDIANEIRA;10-10-2005;Sul;PR;Medianeira;Oeste Paranaense;Foz do Iguaçu
2867;INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS PESQUEIRA;07-01-2009;Nordeste;PE;Pesqueira;Agreste Pernambucano;Vale do Ipojuca
2921;INSTITUTO FEDERAL DO PIAUÍ - CAMPUS FLORIANO;07-01-2009;Nordeste;PI;Floriano;Sudoeste Piauiense;Floriano
13305;INSTITUTO FEDERAL DO PIAUÍ - CAMPUS SÃO RAIMUNDO NONATO;07-01-2009;Nordeste;PI;São Raimundo Nonato;Sudoeste Piauiense;São Raimundo Nonato
12424;COLÉGIO TÉCNICO DE TERESINA;10-05-1954;Nordeste;PI;Teresina;Centro-Norte Piauiense;Teresina
31962;INSTITUTO FEDERAL DO PARANÁ CAMPUS AVANÇADO ASTORGA;18-06-2012;Sul;PR;Astorga;Norte Central Paranaense;Astorga
14080;INSTITUTO FEDERAL FARROUPILHA - CAMPUS PANAMBI;07-01-2009;Sul;RS;Panambi;Noroeste Rio-grandense;Ijuí
12737;UNIVERSIDADE FEDERAL DE SANTA MARIA - COLÉGIO POLITÉCNICO DA UNIVERSIDADE FEDERAL SANTA MARIA;24-01-1961;Sul;RS;Santa Maria;Centro Ocidental Rio-grandense;Santa Maria
32048;INSTITUTO FEDERAL FARROUPILHA - CAMPUS SANTO ÂNGELO;31-01-2014;Sul;RS;Santo Ângelo;Noroeste Rio-grandense;Santo Ângelo
2929;INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS SAPUCAIA DO SUL;07-01-2009;Sul;RS;Sapucaia do Sul;Metropolitana de Porto Alegre;Porto Alegre
42059;INSTITUTO FEDERAL FLUMINENSE - CAMPUS AVANÇADO MARICÁ;30-12-2013;Sudeste;RJ;Maricá;Metropolitana do Rio de Janeiro;Rio de Janeiro
13909;INSTITUTO FEDERAL FLUMINENSE - CAMPUS QUISSAMÃ;12-01-2010;Sudeste;RJ;Quissamã;Norte Fluminense;Macaé
32055;INSTITUTO FEDERAL FLUMINENSE - CAMPUS SANTO ANTÔNIO DE PÁDUA;25-04-2013;Sudeste;RJ;Santo Antônio de Pádua;Noroeste Fluminense;Santo Antônio de Pádua
3530;INSTITUTO FEDERAL DO RIO DE JANEIRO - CAMPUS VOLTA REDONDA;07-01-2009;Sudeste;RJ;Volta Redonda;Sul Fluminense;Vale do Paraíba Fluminense
13013;INSTITUTO FEDERAL DO RIO GRANDE DO NORTE - CAMPUS JOÃO CÂMARA;28-07-2009;Nordeste;RN;João Câmara;Agreste Potiguar;Baixa Verde
13766;INSTITUTO FEDERAL DE RONDÔNIA - CAMPUS PORTO VELHO ZONA NORTE;07-01-2009;Norte;RO;Porto Velho;Madeira-Guaporé;Porto Velho
20078;INSTITUTO FEDERAL DE SERGIPE - CAMPUS NOSSA SENHORA DA GLÓRIA;30-12-2008;Nordeste;SE;Nossa Senhora da Glória;Sertão Sergipano;Sergipana do Sertão do São Francisco
14035;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS ARARAQUARA;30-12-2008;Sudeste;SP;Araraquara;Araraquara;Araraquara
14032;INSTITUTO FEDERAL DE SÃO PAULO - CAMPUS CATANDUVA;30-12-2008;Sudeste;SP;Catanduva;São José do Rio Preto;Catanduva
2832;INSTITUTO FEDERAL CATARINENSE - CAMPUS CAMBORIÚ;07-01-2009;Sul;SC;Camboriú;Vale do Itajaí;Itajaí
2824;INSTITUTO FEDERAL DE SANTA CATARINA - CAMPUS FLORIANÓPOLIS;07-01-2009;Sul;SC;Florianópolis;Grande Florianópolis;Florianópolis
20424;INSTITUTO FEDERAL CATARINENSE - CAMPUS FRAIBURGO;29-12-2008;Sul;SC;Fraiburgo;Oeste Catarinense;Joaçaba
34969;INSTITUTO FEDERAL DE SÃO PAULO CAMPUS AVANÇADO JUNDIAÍ;29-12-2008;Sudeste;SP;Jundiaí;Macro Metropolitana Paulista;Jundiaí
32537;INSTITUTO FEDERAL DO TOCANTINS - CAMPUS AVANÇADO FORMOSO DO ARAGUAIA;22-01-2014;Norte;TO;Formoso do Araguaia;Ocidental do Tocantins;Rio Formoso
32491;INSTITUTO FEDERAL DO AMAZONAS CAMPUS AVANÇADO MANACAPURU;22-01-2014;Norte;AM;Manacapuru;Centro Amazonense;Manaus
2902;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS MANAUS ZONA LESTE;07-01-2009;Norte;AM;Manaus;Centro Amazonense;Manaus
13792;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS PARINTINS;29-12-2008;Norte;AM;Parintins;Centro Amazonense;Parintins
2983;INSTITUTO FEDERAL DO AMAZONAS - CAMPUS SÃO GABRIEL DA CACHOEIRA;07-01-2009;Norte;AM;São Gabriel da Cachoeira;Norte Amazonense;Rio Negro
14131;INSTITUTO FEDERAL DO AMAPÁ - CAMPUS LARANJAL DO JARI;06-12-2010;Norte;AP;Laranjal do Jari;Sul do Amapá;Mazagão
32107;INSTITUTO FEDERAL DO AMAPÁ CAMPUS PORTO GRANDE;22-01-2014;Norte;AP;Porto Grande;Sul do Amapá;Macapá
23625;INSTITUTO FEDERAL BAIANO - CAMPUS GOVERNADOR MANGABEIRA;24-04-2013;Nordeste;BA;Governador Mangabeira;Metropolitana de Salvador;Santo Antônio de Jesus
32036;INSTITUTO FEDERAL DA BAHIA CAMPUS JUAZEIRO;29-12-2008;Nordeste;BA;Juazeiro;Vale São-Franciscano da Bahia;Juazeiro
14329;INSTITUTO FEDERAL DO ACRE - CAMPUS CRUZEIRO DO SUL;29-12-2008;Norte;AC;Cruzeiro do Sul;Vale do Juruá;Cruzeiro do Sul
32006;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS BATALHA;22-01-2014;Nordeste;AL;Batalha;Sertão Alagoano;Batalha
20106;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS BARRA DO CORDA;29-12-2008;Nordeste;MA;Barra do Corda;Centro Maranhense;Alto Mearim e Grajaú
20382;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS CAXIAS;30-12-2008;Nordeste;MA;Caxias;Leste Maranhense;Caxias
2905;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS IMPERATRIZ;07-01-2009;Nordeste;MA;Imperatriz;Oeste Maranhense;Imperatriz
2901;INSTITUTO FEDERAL DO MARANHÃO - CAMPUS SÃO LUÍS MONTE CASTELO;07-01-2009;Nordeste;MA;São Luís;Norte Maranhense;Aglomeração Urbana de São Luís
2947;INSTITUTO FEDERAL BAIANO - CAMPUS SANTA INÊS;07-01-2009;Nordeste;BA;Santa Inês;Centro Sul Baiano;Jequié
2876;INSTITUTO FEDERAL DA BAHIA - CAMPUS VITÓRIA DA CONQUISTA;07-01-2009;Nordeste;BA;Vitória da Conquista;Centro Sul Baiano;Vitória da Conquista
20412;INSTITUTO FEDERAL DO CEARÁ - CAMPUS ARACATI;29-12-2008;Nordeste;CE;Aracati;Jaguaribe;Litoral de Aracati
14190;INSTITUTO FEDERAL DO CEARÁ - CAMPUS BATURITÉ;30-03-2010;Nordeste;CE;Baturité;Norte Cearense;Baturité
